Name,Party,Ethnicity,Gender,Parliament_1,Parliament_2,Parliament_3,Parliament_4,Parliament_5,Parliament_6,Parliament_7,Parliament_8,Parliament_9,Parliament_10,Parliament_11,Parliament_12,Parliament_13,Parliament_14
"Tan Tee Yong, Philip",People's Action Party,Chinese,Male,,,,,,MP,MP,,,,,,,
Tang Guan Seng,People's Action Party,Chinese,Male,,,,,,MP,MP,,MP,,,,,
"Vasoo, S",People's Action Party,Indian,Male,,,,,,MP,MP,MP,MP,,,,,
Wang Kai Yuen,People's Action Party,Chinese,Male,,,,,,MP,MP,MP,MP,MP,,,,
Wong Aline K,People's Action Party,Chinese,Female,,,,,,MP,MP,MP,MP,,,,,
Wong Kan Seng,People's Action Party,Chinese,Male,,,,,,MP,MP,MP,MP,MP,MP,MP,,
Yatiman Yusof,People's Action Party,Malay,Male,,,,,,MP,MP,MP,MP,MP,,,,
Yeo Cheow Tong,People's Action Party,Chinese,Male,,,,,,MP,MP,MP,MP,MP,MP,,,
Yu-Foo Yee Shoon,People's Action Party,Chinese,Female,,,,,,MP,MP,MP,MP,MP,MP,,,
Zulkifli Bin Mohamed,People's Action Party,Malay,Male,,,,,,MP,MP,MP,,,,,,
Abdul Nasser Bin Kamarudin,People's Action Party,Malay,Male,,,,,,,MP,,,,,,,
Chay Wai Chuen,People's Action Party,Chinese,Male,,,,,,,MP,MP,MP,MP,,,,
"Chen Seow Phun, John, Dr",People's Action Party,Chinese,Male,,,,,,,MP,MP,MP,MP,,,,
Charles Chong,People's Action Party,Chinese,Male,,,,,,,MP,MP,MP,MP,MP,MP,MP,
"Choo, Maurice, Assoc Prof",NMP,Chinese,Male,,,,,,,NMP,,,,,,,
Choo Wee Khiang,People's Action Party,Chinese,Male,,,,,,,MP,MP,MP,,,,,
Davinder Singh,People's Action Party,Chinese,Male,,,,,,,MP,MP,MP,MP,,,,
"Hong Hai, Dr",People's Action Party,Chinese,Male,,,,,,,MP,,,,,,,
"Lee Siew Choh, Dr",Workers' Party,Chinese,Male,,,,,,,NCMP,,,,,,,
Leong Chee Whye,NMP,Chinese,Male,,,,,,,NMP,,,,,,,
Lew Syn Pau,People's Action Party,Chinese,Male,,,,,,,MP,MP,MP,,,,,
Loh Meng See,People's Action Party,Chinese,Male,,,,,,,MP,MP,MP,MP,,,,
"Low Seow Chay, Assoc Prof",People's Action Party,Chinese,Male,,,,,,,MP,MP,MP,MP,,,,
Mah Bow Tan,People's Action Party,Chinese,Male,,,,,,,MP,MP,MP,MP,MP,MP,,
Ng Pock Too,People's Action Party,Chinese,Male,,,,,,,MP,,,,,,,
"Ong Chit Chung, Dr",People's Action Party,Chinese,Male,,,,,,,MP,MP,MP,MP,MP,,,
Peh Chin Hua,People's Action Party,Chinese,Male,,,,,,,MP,MP,MP,,,,,
"Sung, Peter",People's Action Party,Chinese,Male,,,,,,,MP,MP,,,,,,
"Seet Ai Mei, Dr",People's Action Party,Chinese,Male,,,,,,,MP,,,,,,,
K Shanmugam,People's Action Party,Indian,Male,,,,,,,MP,MP,MP,MP,MP,MP,MP,MP
"Yeo Yong-Boon, George",People's Action Party,Chinese,Male,,,,,,,MP,MP,MP,MP,MP,,,
"Chen Koon Lap, Kenneth",People's Action Party,Chinese,Male,,,,,,,,MP,MP,,,,,
Cheo Chai Chen,Singapore Democratic Party,Chinese,Male,,,,,,,,MP,,,,,,
Chia Shi Teck,NMP,Chinese,Male,,,,,,,,NMP,,,,,,
"Chua Teck Chew, Robert",NMP,Chinese,Male,,,,,,,,NMP,,,,,,
"De Payva, John",NMP,Eurasian,Male,,,,,,,,NMP,,,,,,
Harun Bin A Ghani,People's Action Party,Malay,Male,,,,,,,,MP,MP,,,,,
Ho Peng Kee,People's Action Party,Chinese,Male,,,,,,,,MP,MP,MP,MP,,,
Imram Bin Mohamed,NMP,Malay,Male,,,,,,,,NMP,,,,,,
"Kanwaljit Soin, Dr",NMP,Indian,Female,,,,,,,,NMP,,,,,,
"Ker Sin Tze, Dr",People's Action Party,Chinese,Male,,,,,,,,MP,MP,,,,,
Koo Tsai Kee,People's Action Party,Chinese,Male,,,,,,,,MP,MP,MP,MP,,,
"Lee Ching Yen, Stephen",NMP,Chinese,Male,,,,,,,,NMP,,,,,,
"Lee Tsao Yuan, Dr",NMP,Chinese,Female,,,,,,,,NMP,NMP,,,,,
"Lim Chun Leng, Michael, Dr",People's Action Party,Chinese,Male,,,,,,,,MP,MP,MP,,,,
Lim Hng Kiang,People's Action Party,Chinese,Male,,,,,,,,MP,MP,MP,MP,MP,MP,
Ling How Doong,Singapore Democratic Party,Chinese,Male,,,,,,,,MP,,,,,,
Low Thia Khiang,Workers' Party,Chinese,Male,,,,,,,,MP,MP,MP,MP,MP,MP,
Mohamed Maidin BPM,People's Action Party,Malay,Male,,,,,,,,MP,MP,MP,,,,
"Sinnakaruppan, R",People's Action Party,Indian,Male,,,,,,,,MP,MP,,,,,
Teo Chee Hean,People's Action Party,Chinese,Male,,,,,,,,MP,MP,MP,MP,MP,MP,MP
"Toh Keng Kiat, Dr",NMP,Chinese,Male,,,,,,,,NMP,,,,,,
Tong Kok Yeo,NMP,Chinese,Male,,,,,,,,NMP,,,,,,
Umar Abdul Hamid,People's Action Party,Malay,Male,,,,,,,,MP,,,,,,
"Woon, Walter",NMP,Chinese,Male,,,,,,,,NMP,,,,,,
Matthias Yao Chih,People's Action Party,Chinese,Male,,,,,,,,MP,MP,MP,MP,,,
Ahmad Mohd Magad,People's Action Party,Malay,Male,,,,,,,,,MP,MP,MP,,,
Ang Mong Seng,People's Action Party,Chinese,Male,,,,,,,,,MP,MP,MP,,,
Braema Mathiaparanam,NMP,Indian,Female,,,,,,,,,NMP,NMP,,,,
Chan Soo Sen,People's Action Party,Chinese,Male,,,,,,,,,MP,MP,MP,,,
Chandra Mohan K Nair,NMP,Indian,Male,,,,,,,,,NMP,NMP,,,,
"Chen, Peter",People's Action Party,Chinese,Male,,,,,,,,,MP,,,,,
"Chiang See Ngoh, Claire, Mdm",NMP,Chinese,Female,,,,,,,,,NMP,,,,,
Chin Tet Yung,People's Action Party,Chinese,Male,,,,,,,,,MP,MP,,,,
Chuang Shaw Peng,NMP,Chinese,Male,,,,,,,,,NMP,,,,,
"Ee, Gerard",NMP,Chinese,Male,,,,,,,,,NMP,,,,,
Goh Chong Chia,NMP,Chinese,Male,,,,,,,,,NMP,,,,,
Hawazi Daipi,People's Action Party,Malay,Male,,,,,,,,,MP,MP,MP,MP,,
Inderjit Singh,People's Action Party,Indian,Male,,,,,,,,,MP,MP,MP,MP,,
S Iswaran,People's Action Party,Indian,Male,,,,,,,,,MP,MP,MP,MP,MP,MP
"Lee Gek Choo, Jennifer, Dr",NMP,Chinese,Female,,,,,,,,,NMP,NMP,,,,
"Lim T E, David",People's Action Party,Chinese,Male,,,,,,,,,MP,MP,,,,
Lim Hwee Hua,People's Action Party,Chinese,Female,,,,,,,,,MP,MP,MP,,,
Lim Swee Say,People's Action Party,Chinese,Male,,,,,,,,,MP,MP,MP,MP,MP,
Lily Neo,People's Action Party,Chinese,Female,,,,,,,,,MP,MP,MP,MP,MP,
Ong Ah Heng,People's Action Party,Chinese,Male,,,,,,,,,MP,MP,MP,,,
"Ong Chin Guan, Noris",NMP,Chinese,Male,,,,,,,,,NMP,,,,,
Ong Kian Min,People's Action Party,Chinese,Male,,,,,,,,,MP,MP,MP,,,
Shriniwas Rai,People's Action Party,Indian,Male,,,,,,,,,MP,,,,,
R Ravindran,People's Action Party,Indian,Male,,,,,,,,,MP,MP,,,,
Seng Han Thong,People's Action Party,Chinese,Male,,,,,,,,,MP,MP,MP,MP,,
Sin Boon Ann,People's Action Party,Chinese,Male,,,,,,,,,MP,MP,MP,,,
"Tan Boon Wan, Dr",People's Action Party,Chinese,Male,,,,,,,,,MP,MP,,,,
"Tan, Cyrille",NMP,Chinese,Male,,,,,,,,,NMP,,,,,
Tay Beng Chuan,NMP,Chinese,Male,,,,,,,,,NMP,,,,,
"Tay S C, Simon, Assoc Prof",NMP,Chinese,Male,,,,,,,,,NMP,,,,,
Thomas Thomas,NMP,Eurasian,Male,,,,,,,,,NMP,,,,,
"Toh See Kiat, Dr",NMP,Chinese,Male,,,,,,,,,NMP,,,,,
Yaacob Ibrahim,People's Action Party,Malay,Male,,,,,,,,,MP,MP,MP,MP,MP,
