level_4,level_1,perc,value,diff
Malcolm,Indians,5.323193916349809,9.0948933171013,-3.7716994007514915
Malcolm,Malays,0.7604562737642585,13.351957454988147,-12.591501181223888
Macpherson,Chinese,72.54628012574223,74.30281284039214,-1.7565327146499072
Macpherson,Malays,14.844568634299685,13.351957454988147,1.4926111793115382
Macpherson,Indians,10.338805448829898,9.0948933171013,1.2439121317285977
Macpherson,Others,2.2703457911281872,3.250336387518421,-0.9799905963902336
Mackenzie,Chinese,72.72727272727273,74.30281284039214,-1.575540113119402
Mackenzie,Indians,18.181818181818183,9.0948933171013,9.086924864716883
Mackenzie,Others,9.090909090909092,3.250336387518421,5.840572703390671
Loyang West,Chinese,75.0,74.30281284039214,0.6971871596078643
Loyang West,Malays,15.0,13.351957454988147,1.6480425450118528
Loyang West,Indians,5.0,9.0948933171013,-4.094893317101301
Loyang West,Others,5.0,3.250336387518421,1.7496636124815792
Loyang East,Chinese,74.88584474885845,74.30281284039214,0.5830319084663103
Loyang East,Indians,11.87214611872146,9.0948933171013,2.7772528016201594
Loyang East,Others,9.1324200913242,3.250336387518421,5.882083703805779
Loyang East,Malays,4.10958904109589,13.351957454988147,-9.242368413892258
Lower Seletar,Chinese,77.35191637630662,74.30281284039214,3.049103535914483
Lower Seletar,Malays,11.846689895470384,13.351957454988147,-1.5052675595177636
Lower Seletar,Indians,8.013937282229964,9.0948933171013,-1.0809560348713365
Lower Seletar,Others,2.7874564459930316,3.250336387518421,-0.46287994152538925
Lorong Chuan,Chinese,90.2264600715137,74.30281284039214,15.923647231121564
Lorong Chuan,Indians,5.005959475566151,9.0948933171013,-4.08893384153515
Lorong Chuan,Others,4.171632896305125,3.250336387518421,0.9212965087867042
Lorong Chuan,Malays,0.5959475566150179,13.351957454988147,-12.75600989837313
Lorong Ah Soo,Chinese,82.97747879496929,74.30281284039214,8.67466595457715
Lorong Ah Soo,Malays,7.604562737642586,13.351957454988147,-5.7473947173455615
Lorong Ah Soo,Indians,7.5753144194208835,9.0948933171013,-1.5195788976804172
Lorong Ah Soo,Others,1.842644047967242,3.250336387518421,-1.407692339551179
Lorong 8 Toa Payoh,Chinese,81.8734793187348,74.30281284039214,7.570666478342659
Lorong 8 Toa Payoh,Malays,9.245742092457421,13.351957454988147,-4.106215362530726
Lorong 8 Toa Payoh,Indians,6.569343065693431,9.0948933171013,-2.5255502514078696
Lorong 8 Toa Payoh,Others,2.3114355231143553,3.250336387518421,-0.9389008644040655
Little India,Chinese,72.98701298701299,74.30281284039214,-1.315799853379147
Little India,Indians,25.19480519480519,9.0948933171013,16.09991187770389
Little India,Others,1.0389610389610389,3.250336387518421,-2.211375348557382
Little India,Malays,0.7792207792207793,13.351957454988147,-12.572736675767368
Leonie Hill,Chinese,61.63265306122449,74.30281284039214,-12.670159779167648
Leonie Hill,Indians,20.408163265306122,9.0948933171013,11.313269948204821
Leonie Hill,Others,16.73469387755102,3.250336387518421,13.4843574900326
Leonie Hill,Malays,1.2244897959183674,13.351957454988147,-12.12746765906978
Leedon Park,Chinese,77.35247208931419,74.30281284039214,3.0496592489220546
Leedon Park,Others,14.992025518341306,3.250336387518421,11.741689130822884
Leedon Park,Indians,6.379585326953747,9.0948933171013,-2.7153079901475534
Leedon Park,Malays,1.2759170653907497,13.351957454988147,-12.076040389597397
Lavender,Chinese,70.08712487899322,74.30281284039214,-4.215687961398913
Lavender,Indians,17.231364956437563,9.0948933171013,8.136471639336262
Lavender,Malays,9.293320425943854,13.351957454988147,-4.058637029044293
Lavender,Others,3.3881897386253628,3.250336387518421,0.13785335110694197
Lakeside,Chinese,86.0,74.30281284039214,11.697187159607864
Lakeside,Indians,8.0,9.0948933171013,-1.0948933171013007
Lakeside,Others,4.0,3.250336387518421,0.7496636124815792
Lakeside,Malays,2.0,13.351957454988147,-11.351957454988147
Kovan,Chinese,89.50858034321372,74.30281284039214,15.205767502821587
Kovan,Indians,5.811232449297972,9.0948933171013,-3.283660867803329
Kovan,Others,2.3790951638065523,3.250336387518421,-0.8712412237118685
Kovan,Malays,2.3010920436817472,13.351957454988147,-11.0508654113064
Kim Keat,Chinese,81.8815331010453,74.30281284039214,7.578720260653171
Kim Keat,Indians,9.40766550522648,9.0948933171013,0.31277218812518015
Kim Keat,Malays,6.155632984901278,13.351957454988147,-7.19632447008687
Kim Keat,Others,2.5551684088269457,3.250336387518421,-0.6951679786914751
Khatib,Chinese,74.65437788018433,74.30281284039214,0.35156503979219167
Khatib,Malays,12.811059907834101,13.351957454988147,-0.5408975471540458
Khatib,Indians,9.67741935483871,9.0948933171013,0.5825260377374093
Khatib,Others,2.857142857142857,3.250336387518421,-0.3931935303755636
Kent Ridge,Chinese,62.03703703703704,74.30281284039214,-12.265775803355098
Kent Ridge,Indians,18.51851851851852,9.0948933171013,9.423625201417218
Kent Ridge,Others,17.59259259259259,3.250336387518421,14.342256205074172
Kent Ridge,Malays,1.8518518518518516,13.351957454988147,-11.500105603136296
Kembangan,Chinese,70.68158168574402,74.30281284039214,-3.6212311546481146
