Name,Party,Ethnicity,Gender,Type,Parliament
Mansor Haji Sukaimi,People's Action Party,Malay,Male,MP,5
Ow Chin Hock,People's Action Party,Chinese,Male,MP,5
Rohan Bin Kamis,People's Action Party,Malay,Male,MP,5
S. Dhanabalan,People's Action Party,Indian,Male,MP,5
Sidek Bin Saniff,People's Action Party,Malay,Male,MP,5
"Tan Keng Yam, Tony",People's Action Party,Chinese,Male,MP,5
Tan Soo Khoon,People's Action Party,Chinese,Male,MP,5
Teh Cheang Wan,People's Action Party,Chinese,Male,MP,5
Teo Chong Tee,People's Action Party,Chinese,Male,MP,5
"Yap Giau Cheng, Eugene",People's Action Party,Chinese,Male,MP,5
Abbas Abu Amin,People's Action Party,Malay,Male,MP,5
"Chau Sik Ting, Dr",People's Action Party,Chinese,Male,MP,5
Goh Chee Wee,People's Action Party,Chinese,Male,MP,5
S Jayakumar,People's Action Party,Indian,Male,MP,5
J B Jeyaretnam,Workers' Party,Indian,Male,MP,5
Lau Ping Sum,People's Action Party,Chinese,Male,MP,5
Lee Yock Suan,People's Action Party,Chinese,Male,MP,5
Liew Kok Pun,People's Action Party,Chinese,Male,MP,5
Lim Boon Heng,People's Action Party,Chinese,Male,MP,5
M K A Jabbar,People's Action Party,Indian,Male,MP,5
Othman Bin Haron Eusofe,People's Action Party,Malay,Male,MP,5
Saidi Shariff,People's Action Party,Malay,Male,MP,5
Tan Cheng Bock,People's Action Party,Chinese,Male,MP,5
Tay Eng Soon,People's Action Party,Chinese,Male,MP,5
Wan Hussin Zoohri,People's Action Party,Malay,Male,MP,5
Wan Soon Bee,People's Action Party,Chinese,Male,MP,5
Wong Kwei Cheong,People's Action Party,Chinese,Male,MP,5
Yeo Ning Hong,People's Action Party,Chinese,Male,MP,5
"Barker, E.W.",People's Action Party,Eurasian,Male,MP,6
Fong Sip Chee,People's Action Party,Chinese,Male,MP,6
Ho Kah Leong,People's Action Party,Chinese,Male,MP,6
Jek Yeun Thong,People's Action Party,Chinese,Male,MP,6
Lee Kuan Yew,People's Action Party,Chinese,Male,MP,6
Ng Kah Ting,People's Action Party,Chinese,Male,MP,6
Ong Pang Boon,People's Action Party,Chinese,Male,MP,6
"Rajaratnam, S",People's Action Party,Indian,Male,MP,6
Tang See Chim,People's Action Party,Chinese,Male,MP,6
Toh Chin Chye,People's Action Party,Chinese,Male,MP,6
Yeoh Ghim Seng,People's Action Party,Chinese,Male,MP,6
"Cheong Yuen Chee, Eric",People's Action Party,Chinese,Male,MP,6
Ch'ng Jit Koon,People's Action Party,Chinese,Male,MP,6
Chua Sian Chin,People's Action Party,Chinese,Male,MP,6
Phua Bah Lee,People's Action Party,Chinese,Male,MP,6
Sia Khoon Seong,People's Action Party,Chinese,Male,MP,6
Tan H.H. Augustine,People's Action Party,Chinese,Male,MP,6
Yeo Choo Kok,People's Action Party,Chinese,Male,MP,6
Yeo Toon Chia,People's Action Party,Chinese,Male,MP,6
Ahmad Mattar,People's Action Party,Malay,Male,MP,6
Ang Kok Peng,People's Action Party,Chinese,Male,MP,6
Chai Chong Yii,People's Action Party,Chinese,Male,MP,6
Chin Harn Tong,People's Action Party,Chinese,Male,MP,6
Lai Tai Chai,People's Action Party,Chinese,Male,MP,6
Lee Yiok Seng,People's Action Party,Chinese,Male,MP,6
Ong Teng Cheong,People's Action Party,Chinese,Male,MP,6
"Chen Tien Lap, Bernard",People's Action Party,Chinese,Male,MP,6
Goh Chok Tong,People's Action Party,Chinese,Male,MP,6
Koh Lip Lin,People's Action Party,Chinese,Male,MP,6
Lau Teik Soon,People's Action Party,Chinese,Male,MP,6
Lim Chee Onn,People's Action Party,Chinese,Male,MP,6
Ow Chin Hock,People's Action Party,Chinese,Male,MP,6
S. Dhanabalan,People's Action Party,Indian,Male,MP,6
Sidek Bin Saniff,People's Action Party,Malay,Male,MP,6
"Tan Keng Yam, Tony",People's Action Party,Chinese,Male,MP,6
Tan Soo Khoon,People's Action Party,Chinese,Male,MP,6
Teh Cheang Wan,People's Action Party,Chinese,Male,MP,6
Teo Chong Tee,People's Action Party,Chinese,Male,MP,6
"Yap Giau Cheng, Eugene",People's Action Party,Chinese,Male,MP,6
Abbas Abu Amin,People's Action Party,Malay,Male,MP,6
Goh Chee Wee,People's Action Party,Chinese,Male,MP,6
S Jayakumar,People's Action Party,Indian,Male,MP,6
J B Jeyaretnam,Workers' Party,Indian,Male,MP,6
Lau Ping Sum,People's Action Party,Chinese,Male,MP,6
Lee Yock Suan,People's Action Party,Chinese,Male,MP,6
Lim Boon Heng,People's Action Party,Chinese,Male,MP,6
Othman Bin Haron Eusofe,People's Action Party,Malay,Male,MP,6
Tan Cheng Bock,People's Action Party,Chinese,Male,MP,6
Tay Eng Soon,People's Action Party,Chinese,Male,MP,6
Wan Hussin Zoohri,People's Action Party,Malay,Male,MP,6
Wan Soon Bee,People's Action Party,Chinese,Male,MP,6
Wong Kwei Cheong,People's Action Party,Chinese,Male,MP,6
Yeo Ning Hong,People's Action Party,Chinese,Male,MP,6
Abdullah Bin Tarmugi,People's Action Party,Malay,Male,MP,6
"Beng Kian Lam, Arthur",People's Action Party,Chinese,Male,MP,6
Chew Heng Ching,People's Action Party,Chinese,Male,MP,6
Chiam See Tong,Singapore Democratic Alliance,Chinese,Male,MP,6
Chng Hee Kok,People's Action Party,Chinese,Male,MP,6
Goh Choon Kang,People's Action Party,Chinese,Male,MP,6
Heng Chiang Meng,People's Action Party,Chinese,Male,MP,6
Ho Tat Kin,People's Action Party,Chinese,Male,MP,6
