year,constituency,constituency_type,candidates,party,vote_count,vote_percentage
1959,Serangoon Gardens,na,Liao Ping alias Thomas,PKMS,853,0.1086
1959,Serangoon Gardens,na,"Wee, Eric Sian Beng",SPA,2764,0.3519
1959,Siglap,na,Koh Tee Kin,Independent,3408,0.2656
1959,Siglap,na,Pang Toon Tin,PRSSD,587,0.0457
1959,Siglap,na,Sahorah bte Ahmat,PAP,4407,0.3434
1959,Siglap,na,A. Wanjor,PMIP,234,0.0183
1959,Siglap,na,John Snodgrass,LSP,1511,0.1178
1959,Siglap,na,Abdullah Masood,Independent,1267,0.0987
1959,Siglap,na,Mohd. Sidik bin Hj. Abd. Hamid,PKMS,1418,0.1105
1959,Southern Islands,na,Ahmad Jabri B. M. Akib,PKMS,2598,0.5373
1959,Southern Islands,na,Kum Teng Hock,PAP,1225,0.2534
1959,Southern Islands,na,Ismail Haji Hussain,LSP,1012,0.2093
1959,Stamford,na,Ang Meng Gee,WP,925,0.0847
1959,Stamford,na,Fung Yin Ching,PAP,5372,0.4918
1959,Stamford,na,Hooi Beng Guan,LSP,679,0.0622
1959,Stamford,na,J. M. Jumabhoy,SPA,3810,0.3488
1959,Stamford,na,Wong Chee Lim,Independent,136,0.0125
1959,Tampines,na,Goh Chew Chua,PAP,7461,0.7327
1959,Tampines,na,Lim Choo Ten alias Lim How Chiang,Independent,681,0.0669
1959,Tampines,na,Ong Phi Hok,SPA,2041,0.2004
1959,Tanglin,na,Ahmad b. Hj. Taff,PKMS,2386,0.3044
1959,Tanglin,na,Chan Ah Wing,LSP,395,0.0504
1959,Tanglin,na,Ibrahim b. Othman,PAP,2360,0.3011
1959,Tanglin,na,Thio Chan Bee,SPA,2698,0.3441
1959,Tanjong Pagar,na,Lee Kuan Yew,PAP,7617,0.7104
1959,Tanjong Pagar,na,C. Subramanyam,LSP,3105,0.2896
1959,Telok Ayer,na,Ong Pang Boon,PAP,8372,0.6738
1959,Telok Ayer,na,Soh Teck Chee,CP,287,0.0231
1959,Telok Ayer,na,Tan Kian Kee,SPA,2106,0.1695
1959,Telok Ayer,na,Tay Soo Yong,Independent,1660,0.1336
1959,Telok Blangah,na,John Mammen,PAP,5803,0.5041
1959,Telok Blangah,na,V. Mariappan,Independent,337,0.0293
1959,Telok Blangah,na,Osman Gani,PKMS,4141,0.3597
1959,Telok Blangah,na,Wee Kim Hock,CP,1230,0.1069
1959,Thomson,na,T. Bani,PAP,4978,0.5463
1959,Thomson,na,Francis Thomas,SLF,2581,0.2833
1959,Thomson,na,Yap Chin Choon,SPA,1553,0.1704
1959,Tiong Bahru,na,Chua Chin Kiat,WP,282,0.026
1959,Tiong Bahru,na,Lee Bah Chee,LSP,996,0.0917
1959,Tiong Bahru,na,Lee Teck Him,PAP,5175,0.4766
1959,Tiong Bahru,na,Lim Huan Seng,Independent,494,0.0455
1959,Tiong Bahru,na,Lin Wo Ling,SPA,2182,0.2009
1959,Tiong Bahru,na,William Tan,Independent,1730,0.1593
1959,Toa Payoh,na,Lee Poh Chee,SPA,2500,0.2234
1959,Toa Payoh,na,Wong Soon Fong,PAP,8693,0.7766
1959,Ulu Pandan,na,Anthony Ponnusamy,Independent,296,0.0304
1959,Ulu Pandan,na,Chua Kim Toh,Independent,183,0.0189
1959,Ulu Pandan,na,M. Karthigesu,LSP,284,0.0292
1959,Ulu Pandan,na,S. Khalaff,Independent,1083,0.1113
1959,Ulu Pandan,na,Low Boon Kiat,Independent,361,0.0371
1959,Ulu Pandan,na,Mohd. Ariff bin Suradi,PAP,4420,0.4544
1959,Ulu Pandan,na,Leslie Rayner,SPA,3100,0.3187
1959,Upper Serangoon,na,Chan Sun Wing,PAP,4497,0.4506
1959,Upper Serangoon,na,Lim Choon Mong,SPA,4372,0.4381
1959,Upper Serangoon,na,Sin Cho Lang,LSP,901,0.0903
